Permit Number,Permit Series,Permit Type,Permit Status,Issue Date,Valid To,House Number,On Street,From Street,To Street,Permittee Name,Permit Purpose,Location (WKT) 
X012016034A67,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOLLER AVENUE,NYCTA SUBWAY,BOSTON ROAD,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029614.7406000048 260563.6834000051, 1029422.4573999941 260700.08720000088)"
X012016034A66,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOLLER AVENUE,BOSTON ROAD,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029614.7406000048 260563.6834000051, 1029422.4573999941 260700.08720000088)"
X012016034A65,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOLLER AVENUE,NYCTA SUBWAY,TILLOTSON AVENUE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029614.7406000048 260563.6834000051, 1029633.6905999929 260550.86519999802, 1029649.6782000065 260533.66380000114, 1029661.3120000064 260513.26680000126, 1029667.8770000041 260491.35079999268, 1029910.7647999972 259921.06919999421)"
X012016034A64,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOLLER AVENUE,TILLOTSON AVENUE,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029614.7406000048 260563.6834000051, 1029633.6905999929 260550.86519999802, 1029649.6782000065 260533.66380000114, 1029661.3120000064 260513.26680000126, 1029667.8770000041 260491.35079999268, 1029910.7647999972 259921.06919999421)"
X012016034A63,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,EAST  233 STREET,DYRE AVENUE,MERRITT AVENUE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1030895.2267999947 263279.60300000012, 1031158.7761999965 263259.9212000072, 1031399.9502000064 263240.49879999459)"
X012016034A62,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BAYCHESTER AVENUE,TILLOTSON AVENUE,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029176.6967999935 259606.43459999561, 1029103.6852000058 259777.30359999835)"
X012016034A61,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,DYRE AVENUE,LIGHT STREET,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1030901.2996000051 262717.95720000565, 1030897.5594000071 262777.320600003)"
X012016034A60,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BAYCHESTER AVENUE,NYCTA SUBWAY,TILLOTSON AVENUE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029176.6967999935 259606.43459999561, 1029103.6852000058 259777.30359999835)"
X012016034A59,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,DYRE AVENUE,CONNER STREET,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1030901.2996000051 262717.95720000565, 1030907.6972000003 262632.59980000556, 1030923.9635999948 262358.3219999969)"
X012016034A58,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BAYCHESTER AVENUE,NYCTA SUBWAY,BOSTON ROAD,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029103.6852000058 259777.30359999835, 1028841.9467999935 260387.8437999934)"
X012016034A57,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOSTON ROAD,BIVONA STREET,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1030138.5649999976 261382.85819999874, 1030257.0522000045 261454.24259999394)"
X012016034A56,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BAYCHESTER AVENUE,BOSTON ROAD,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1029103.6852000058 259777.30359999835, 1028841.9467999935 260387.8437999934)"
X012016034A55,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,BOSTON ROAD,MAROLLA PLACE,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1030056.1405999959 261331.58540000021, 1030138.5649999976 261382.85819999874)"
X012016034A54,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,NYCTA SUBWAY,WILSON AVENUE,,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York",POINT (1025995.5582000017 254961.11609999835)
X012016034A53,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,AMETHYST STREET,NYCTA SUBWAY,RHINELANDER AVENUE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1020672.1832000017 247918.97480000556, 1020767.829400003 248364.24279999733)"
X012016034A52,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,ALLERTON AVENUE,BOUCK AVENUE,STEDMAN PLACE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1025492.1177999973 254581.18899999559, 1025642.4422000051 254578.81039999425, 1025715.4932000041 254577.74400000274, 1025754.8369999975 254573.83319999278)"
X012016034A51,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,AMETHYST STREET,NYCTA SUBWAY,SAGAMORE STREET,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1020767.829400003 248364.24279999733, 1020808.0786000043 248569.4130000025)"
X012016034A50,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,ALLERTON AVENUE,BOUCK AVENUE,WILSON AVENUE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1025754.8369999975 254573.83319999278, 1025774.4236000031 254573.78079999983, 1025870.3649999946 254573.52159999311, 1025957.3299999982 254572.668599993, 1025987.3366000056 254572.37340000272)"
X012016034A49,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,WHITE PLAINS ROAD,NYCTA SUBWAY,SAGAMORE STREET,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1020818.9842000008 248948.49359999597, 1020922.9800000042 248579.00620000064, 1020937.1040000021 248538.0286000073, 1020943.3703999966 248515.46960000694)"
X012016034A48,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,EAST  222 STREET,ELY AVENUE,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1028576.3863999993 259055.92059999704, 1028617.0884000063 259033.4863999933, 1028702.7280000001 258986.28159999847)"
X012016034A47,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,WHITE PLAINS ROAD,BIRCHALL AVENUE,SAGAMORE STREET,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1020922.9800000042 248579.00620000064, 1020818.9842000008 248948.49359999597)"
X012016034A46,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,WHITE PLAINS ROAD,CRUGER AVENUE,SAGAMORE STREET,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue Line, Bronx New York","LINESTRING (1021000.4109999985 248310.13539999723, 1020943.3703999966 248515.46960000694)"
X012016034A45,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,WICKHAM AVENUE,NYCTA SUBWAY,SEXTON PLACE,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1028300.3830000013 258370.07559999824, 1028295.4485999942 258394.27500000596, 1028284.9171999991 258417.33599999547, 1028269.395600006 258437.3817999959, 1028250.261800006 258452.9986000061)"
X012016034A44,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT,ACTIVE,02/03/2016,02/28/2016,1914,WICKHAM AVENUE,GIVAN AVENUE,NYCTA SUBWAY,JTJ CONTRACTING," Signal System Modernization of Dyre Avenue - Bronx, New York","LINESTRING (1028250.261800006 258452.9986000061, 1028200.8325999975 258484.98019999266)"
X012016034A43,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,NYCTA SUBWAY,SECOR AVENUE,,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,POINT (1030544.8011000007 262030.26829999685)
X012016034A42,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,CRUGER AVENUE,NYCTA SUBWAY,SAGAMORE STREET,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,"LINESTRING (1021047.0020000041 248499.81999999285, 1021081.9593999982 248695.8302000016)"
X012016034A41,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,CRUGER AVENUE,NYCTA SUBWAY,,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,POINT (1021081.9594999999 248695.8300999999)
X012016034A40,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,CRUGER AVENUE,BRONXDALE AVENUE,NYCTA SUBWAY,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,"LINESTRING (1021081.9593999982 248695.8302000016, 1021098.8524000049 249329.460800007)"
X012016034A39,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,SECOR AVENUE,BEND,NYCTA SUBWAY,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,"LINESTRING (1030528.2885999978 261781.61720000207, 1030544.800999999 262030.26819999516)"
X012016034A38,STREET OPENING PERMIT,RAPID TRANSIT CONSTRUCT/ ALTERATION,ACTIVE,02/03/2016,02/28/2016,1914,SECOR AVENUE,CONNER STREET,NYCTA SUBWAY,JTJ CONTRACTING, SIGNAL SYSTEM MODERNIZATION OF DYRE AVE. LINE BX.,"LINESTRING (1030544.800999999 262030.26819999516, 1030573.2163999975 262412.91840000451)"
X012016034A37,STREET OPENING PERMIT,REPAIR GAS,ACTIVE,02/05/2016,03/03/2016,1653,YATES AVENUE,PIERCE AVENUE,VAN NEST AVENUE,CONSOLIDATED EDISON, 487281/297/XL16001592-144'SSC OF VAN NEST AV & 6'W,"LINESTRING (1026296.1351999938 248092.35040000081, 1025905.6897999942 248749.47499999404)"
X012016034A35,STREET OPENING PERMIT,REPAIR WATER - PROTECTED,ACTIVE,02/03/2016,03/03/2016,1162,JACKSON AVENUE,BOSTON ROAD,HOME STREET,NYC DEPT OF ENVIRONMENTAL PROT, REPAIR WATER LEAK,"LINESTRING (1011141.6219999939 241094.7037999928, 1011262.2484000027 241488.23319999874)"
X012016034A34,STREET OPENING PERMIT,REPAIR WATER,ACTIVE,02/03/2016,03/03/2016,3150,DECATUR AVENUE,EAST  204 STREET,EAST  205 STREET,NYC DEPT OF ENVIRONMENTAL PROT, REPAIR WATER LEAK,"LINESTRING (1018130.4757999927 256934.1074000001, 1018575.1565999985 257509.29639999568)"
X012016034A33,STREET OPENING PERMIT,REPAIR WATER,ACTIVE,02/03/2016,03/03/2016,2088    ,VALENTINE AVENUE,EAST  180 STREET,EAST  181 STREET,NYC DEPT OF ENVIRONMENTAL PROT, REPAIR WATER LEAK,"LINESTRING (1011911.4637999982 249889.55259999633, 1012103.1324000061 250454.24840000272)"
X012016034A32,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,03/14/2016,2088    ,INWOOD AVENUE,GOBLE PLACE,WEST MT EDEN AVENUE,CONSOLIDATED EDISON, 486560/361/GAS MAIN *OIL-TO-GAS*,"LINESTRING (1007337.5515999943 246715.66019999981, 1007527.9415999949 247069.79659999907)"
X012016034A31,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,03/14/2016,2088    ,GOBLE PLACE,INWOOD AVENUE,,CONSOLIDATED EDISON, 486559/361/GAS MAIN *OIL-TO-GAS*,POINT (1007337.5515999943 246715.66019999981)
X012016034A30,STREET OPENING PERMIT,MAJOR INSTALLATION - GAS,ACTIVE,02/03/2016,02/20/2016,2088    ,VAN NEST AVENUE,HOLLAND AVENUE,WALLACE AVENUE,CONSOLIDATED EDISON, 480775/288/XG14005407- 160'TRENCH -10'WWC TO 170'W,"LINESTRING (1021934.109799996 246850.60760000348, 1022174.9689999968 246915.95839999616)"
X012016034A29,STREET OPENING PERMIT,MAJOR INSTALLATIONS - HIGH VOLTAGE,ACTIVE,02/03/2016,03/03/2016,2088    ,CRESTON AVENUE,EAST  184 STREET,EAST  188 STREET,CONSOLIDATED EDISON, 486387/361/INSTALL CONDUIT,"LINESTRING (1011961.4202000052 252484.99240000546, 1012277.515200004 253260.07279999554)"
X012016034A28,STREET OPENING PERMIT,MAJOR INSTALLATIONS - HIGH VOLTAGE,ACTIVE,02/03/2016,03/03/2016,2088    ,CRESTON AVENUE,EAST  184 STREET,,CONSOLIDATED EDISON, 486386/361/INSTALL CONDUIT,POINT (1011961.4203000069 252484.99250000715)
X012016034A27,STREET OPENING PERMIT,REPAIR WATER,ACTIVE,02/03/2016,03/03/2016,1549,BOONE AVENUE,EAST  172 STREET,EAST  173 STREET,NYC DEPT OF ENVIRONMENTAL PROT, REPAIR WATER SERVICE ID: PENDING,"LINESTRING (1015968.5576000065 242622.00720000267, 1016240.5551999956 243223.91539999843)"
X012016034A26,STREET OPENING PERMIT,REPAIR GAS - PROTECTED,ACTIVE,02/04/2016,03/03/2016,1549,PROSPECT AVENUE,GARDEN STREET,GROTE STREET,CONSOLIDATED EDISON, 486926/204/Gas encroachment,"LINESTRING (1016209.8038000017 248992.72259999812, 1016286.700000003 249233.51600000262)"
X012016034A25,STREET OPENING PERMIT,REGRADE HARDWARE,ACTIVE,02/03/2016,03/05/2016,1549,BARNES AVENUE,BARNETT PLACE,MORRIS PARK AVENUE,CONSOLIDATED EDISON, 486353/892/REQUEST CONCRETE CURING 5207,"LINESTRING (1022269.0338000059 247513.68359999359, 1022115.950000003 248074.50599999726)"
X012016034A24,STREET OPENING PERMIT,REGRADE HARDWARE,ACTIVE,02/03/2016,03/05/2016,1549,BARNES AVENUE,MORRIS PARK AVENUE,,CONSOLIDATED EDISON, 486352/892/REQUEST CONCRETE CURING 5207,POINT (1022269.0338999927 247513.68350000679)
X012016034A23,STREET OPENING PERMIT,REPAIR GAS,ACTIVE,02/05/2016,03/03/2016,1549,CRANFORD AVENUE,EAST  241 STREET,,CONSOLIDATED EDISON, 487451/288/,"MULTIPOINT ((1025621.4021999985 268476.4361999929), (1025754.1413999945 268366.8464999944))"
X012016034A22,STREET OPENING PERMIT,REPAIR GAS,ACTIVE,02/05/2016,03/03/2016,1549,CRANFORD AVENUE,WHITE PLAINS ROAD,,CONSOLIDATED EDISON, 487448/288/,POINT (1025621.4021999985 268476.4361999929)
X012016034A21,STREET OPENING PERMIT,MAJOR INSTALLATIONS - HIGH VOLTAGE,ACTIVE,02/03/2016,03/02/2016,1549,RANDALL AVENUE,DEAD END,ROSEDALE AVENUE,CONSOLIDATED EDISON, 486351/361/INSTALL CONDUIT,"LINESTRING (1021410.6726000011 236889.6861999929, 1021369.705400005 236882.20720000565, 1021359.6664000005 236880.37440000474, 1021341.2924000025 236877.01999999583, 1021330.8569999933 236875.11480000615, 1021321.5559999943 236873.41680000722, 1021291.7280000001 236867.97120000422, 1021261.0582000017 236862.37180000544, 1021224.2207999974 236855.64640000463, 1021175.1317999959 236846.68440000713, 1021164.2836000025 236844.7037999928, 1021147.3317999989 236841.60899999738, 1021139.303399995 236840.14319999516, 1021102.5497999936 236833.43320000172, 1021090.445600003 236831.22339999676, 1021069.1909999996 236827.34299999475, 1021031.7574000061 236820.50879999995, 1020954.760800004 236806.45160000026, 1020943.4138000011 236804.37999999523, 1020925.0742000043 236801.03180000186, 1020910.4394000024 236798.35979999602, 1020881.1607999951 236793.01440000534, 1020855.7261999995 236788.37080000341, 1020821.6661999971 236782.15260000527, 1020610.5364000052 236743.60699999332, 1020349.7266000062 236695.99240000546)"
X012016034A20,STREET OPENING PERMIT,MAJOR INSTALLATIONS - HIGH VOLTAGE,ACTIVE,02/03/2016,03/03/2016,1549,PROSPECT AVENUE,EAST  168 STREET,HOME STREET,CONSOLIDATED EDISON, 486355/361/INSTALL CONDUIT,"LINESTRING (1012421.7342000008 240915.93459999561, 1012493.3416000009 241146.51139999926)"
X012016034A19,STREET OPENING PERMIT,MAJOR INSTALL - HIGH VOLTAGE-PROTECTED,ACTIVE,02/03/2016,03/03/2016,1549,EAST  168 STREET,PROSPECT AVENUE,,CONSOLIDATED EDISON, 486350/361/INSTALL CONDUIT,POINT (1012493.3414999992 241146.51150000095)
X012016034A18,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,05/07/2016,1549,HOWE AVENUE,NORTON AVENUE,,C.A.C. INDUSTRIES INC.," constructio/repair sewers,watermains appurt",POINT (1026293.1527999938 236125.93430000544)
X012016034A17,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,05/07/2016,1549,HOWE AVENUE,LACOMBE AVENUE,NORTON AVENUE,C.A.C. INDUSTRIES INC.," construcyion/repair of sewers, watermains, etc","LINESTRING (1026293.1527999938 236125.93440000713, 1026159.9477999955 236882.66519999504)"
X012016034A16,STREET OPENING PERMIT,REPAIR ELECTRIC/COMMUNICATIONS,ACTIVE,02/04/2016,03/03/2016,1806,HUTCHINSON RIV PARKWAY,BUHRE AVENUE,LAURIE AVENUE,CONSOLIDATED EDISON, 486857/361/shunted electric service,"LINESTRING (1029604.4617999941 247964.8736000061, 1029641.1643999964 248417.27099999785)"
X012016034A15,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,BRONX PARK EAST,MACE AVENUE,WARING AVENUE,P & T II CONTRACTING CORP., ,"LINESTRING (1020048.9627999961 253136.94979999959, 1020085.1721999943 253816.804399997)"
X012016034A14,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,BRONX PARK EAST,MACE AVENUE,,P & T II CONTRACTING CORP., ,POINT (1020085.1720999926 253816.804399997)
X012016034A13,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,BARKER AVENUE,MACE AVENUE,,P & T II CONTRACTING CORP., ,POINT (1020381.4491000026 253808.17550000548)
X012016034A12,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,MACE AVENUE,OLINVILLE AVENUE,,P & T II CONTRACTING CORP., ,POINT (1020640.5594000071 253803.22769999504)
X012016034A11,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,MACE AVENUE,BARKER AVENUE,OLINVILLE AVENUE,P & T II CONTRACTING CORP., ,"LINESTRING (1020381.449000001 253808.17540000379, 1020640.5594000071 253803.22779999673)"
X012016034A10,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/03/2016,04/01/2016,1806,MACE AVENUE,BARKER AVENUE,BRONX PARK EAST,P & T II CONTRACTING CORP., ,"LINESTRING (1020085.1721999943 253816.804399997, 1020381.449000001 253808.17540000379)"
X012016034A08,STREET OPENING PERMIT,FINAL RESTORATION ONLY - PROTECTED,ACTIVE,02/03/2016,03/02/2016,1806,NEEDHAM AVENUE,PALMER AVENUE,,MFM CONTRACTING CORP., ,POINT (1029142.2389000058 261056.32799999416)
X012016034A07,STREET OPENING PERMIT,INSTALL FENCE - PROTECTED,ACTIVE,02/03/2016,03/02/2016,1806,NEEDHAM AVENUE,PALMER AVENUE,,MFM CONTRACTING CORP., Install Aluminum Fence around private property,POINT (1029142.2389000058 261056.32799999416)
X012016034A06,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,04/02/2016,1806,HOLLAND AVENUE,BRADY AVENUE,LYDIG AVENUE,CONSOLIDATED EDISON, 485886/287/xg15014615- Working entire block. Both,"LINESTRING (1021370.7580000013 249849.40719999373, 1021387.873999998 250608.93979999423)"
X012016034A05,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,02/25/2016,1407,VYSE AVENUE,FREEMAN STREET,JENNINGS STREET,CONSOLIDATED EDISON, 475707/287/XG15014428- Working in front of lot #14,"LINESTRING (1014715.9617999941 241733.0326000005, 1014984.9606000036 242343.244599998)"
X012016034A04,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,03/28/2016,1407,EAST  167 STREET,BOSTON ROAD,FRANKLIN AVENUE,CONSOLIDATED EDISON," 485670/288/STIPS: 019, 020, 074","LINESTRING (1010534.5530000031 241299.24740000069, 1010858.5450000018 241025.56679999828)"
X012016034A03,STREET OPENING PERMIT,MAJOR INSTALLATIONS - GAS-PROTECTED,ACTIVE,02/03/2016,04/10/2016,2487,GRAND AVENUE,WEST  188 STREET,WEST  190 STREET,CONSOLIDATED EDISON, 485925/287/XG14008947 - WORKING IN FRONT OF LOT #2,"LINESTRING (1011213.3605999947 253997.57140000165, 1011371.8511999995 254272.7675999999)"
X012016033A94,STREET OPENING PERMIT,REPAIR GAS,ACTIVE,02/04/2016,03/02/2016,212,KIRBY STREET,KING AVENUE,BODY OF WATER,CONSOLIDATED EDISON, 486883/295/XL16001566-177FT EEC OF KING ST & 2FT N,"LINESTRING (1043409.9487999976 249284.35259999335, 1043840.650000006 249427.85619999468)"
X012016033A93,STREET OPENING PERMIT,REGRADE HARDWARE - PROTECTED,ACTIVE,02/02/2016,03/05/2016,212,EAST FORDHAM ROAD,MORRIS AVENUE,,CONSOLIDATED EDISON, 486127/892/REQUEST CONCRETE CURING 20549,"MULTIPOINT ((1011921.1251000017 253470.86969999969), (1012009.4644999951 253420.02009999752))"
X012016033A92,STREET OPENING PERMIT,REGRADE HARDWARE - PROTECTED,ACTIVE,02/02/2016,03/05/2016,212,EAST FORDHAM ROAD,EAST  188 STREET,MORRIS AVENUE,CONSOLIDATED EDISON, 486128/892/REQUEST CONCRETE CURING 20549,"LINESTRING (1011921.125 253470.869599998, 1012009.4645999968 253420.01999999583)"
X012016033A91,STREET OPENING PERMIT,MAJOR INSTALLATIONS - HIGH VOLTAGE,ACTIVE,02/02/2016,03/03/2016,212,PROSPECT AVENUE,EAST  161 STREET,EAST  162 STREET,CONSOLIDATED EDISON, 486274/361/INSTALL CONDUIT,"LINESTRING (1011570.1545999944 238213.88940000534, 1011693.4810000062 238602.40240000188)"
X012016033A90,STREET OPENING PERMIT,REGRADE HARDWARE,ACTIVE,02/02/2016,03/05/2016,212,PARK AVENUE,CYRUS PLACE,EAST  187 STREET,CONSOLIDATED EDISON, 486133/892/REQUEST CONCRETE CURING 20910,"LINESTRING (1013941.0584000051 251970.30179999769, 1014063.3449999988 252192.01719999313)"
X012016033A89,STREET OPENING PERMIT,REGRADE HARDWARE - PROTECTED,ACTIVE,02/02/2016,03/05/2016,212,SEDGWICK AVENUE,WEST  195 STREET,WEST KINGSBRIDGE ROAD,CONSOLIDATED EDISON, 486160/892/REQUEST CONCRETE CURING 12728,"LINESTRING (1011174.2859999985 256470.23039999604, 1011145.5426000059 256411.57240000367, 1011112.0124000013 256355.14200000465, 1011073.9842000008 256301.51019999385, 1011031.8222000003 256251.19859999418, 1010985.9792000055 256204.66660000384, 1010870.4479999989 256109.45679999888)"
X012016033A88,STREET OPENING PERMIT,MAJOR INSTALLATION - GAS,ACTIVE,02/02/2016,04/15/2016,2152,HERMANY AVENUE,CASTLE HILL AVENUE,OLMSTEAD AVENUE,CONSOLIDATED EDISON, 486169/287/XG16001150- Working in front of lot #21,"LINESTRING (1025094.5331999958 239635.05779999495, 1025941.1752000004 239786.19920000434)"
X012016033A87,STREET OPENING PERMIT,"TEST PITS, CORES OR BORING",ACTIVE,02/02/2016,03/03/2016,2152,MORRIS AVENUE,BONNER PLACE,EAST  163 STREET,CONSOLIDATED EDISON, 486256/361/SPOT DIG,"LINESTRING (1007072.8540000021 240677.5, 1007158.7724000067 240880.9280000031)"
X012016033A86,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/02/2016,04/01/2016,2152,NYCTA SUBWAY,MACE AVENUE,WARING AVENUE,P & T II CONTRACTING CORP., ,"LINESTRING (1020904.5613999963 253116.73000000417, 1020921.2872000039 253797.03360000253)"
X012016033A85,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/02/2016,04/01/2016,2152,WHITE PLAINS ROAD,ALLERTON AVENUE,MACE AVENUE,P & T II CONTRACTING CORP., ,"LINESTRING (1020921.2872000039 253797.03360000253, 1020937.1105999947 254604.60760000348)"
X012016033A84,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/02/2016,04/01/2016,2152,MACE AVENUE,WHITE PLAINS ROAD,,P & T II CONTRACTING CORP., ,POINT (1020921.2872000039 253797.03380000591)
X012016033A83,STREET OPENING PERMIT,DEP CONTRACTOR MAJOR INSTALLATION WATER,ACTIVE,02/02/2016,04/01/2016,2152,MACE AVENUE,CRUGER AVENUE,NYCTA SUBWAY,P & T II CONTRACTING CORP., ,"LINESTRING (1020921.2872000039 253797.03360000253, 1021200.659799993 253791.03640000522)"
